pf,n,k,p,L,G,r,mindivY,maxdivY,avgdivY,mindivX,maxdivX,avgdivX,ami_yw,ami_yx,ami_xw,p_xy,s_xy,p_wx,s_wx,p_wy,s_wy,minsupp,avgsupp,maxsupp
20,50,1,10,25,1000,0.2,1.0,3.8179668529972908,1.9459820386570807,1.0,4.8752469448100824,1.9695065849783986,0.39292599138659412,0.3909893385924828,0.48037685564919691,0.99022854884893519,0.99148185212094619,0.85688297032432592,0.86449255721864593,0.85891568000321949,0.86656306894699142,0.5,0.59999999999999998,0.69999999999999996
20,50,1,10,25,1000,0.2,1.0,1.9843952490181156,1.3690687760697853,1.0,2.8478473894753185,1.3695694778950638,0.50118286473740337,0.85959780882799197,0.65403186938479208,0.99417056868527232,0.99326420290791673,0.90699720045119103,0.91504845984070615,0.93917658938267778,0.94964638383901678,0.34999999999999998,0.46666666666666662,0.55000000000000004
20,50,1,10,25,1000,0.2,1.0,3.6917721827352565,1.5383544365470514,1.0,3.6917721827352565,1.5383544365470514,1.0,1.0,1.0,0.99488092810477002,0.99400177036556869,0.88080354579920339,0.88640538107575817,0.85793801376335044,0.85753161949934942,0.59999999999999998,0.73750000000000004,0.80000000000000004
20,50,1,10,25,1000,0.2,1.0,3.709156155617555,1.5418312311235109,1.0,3.709156155617555,1.5418312311235109,0.81526085049955077,1.0,0.64703598315527555,0.99558940800893325,0.99587186261127603,0.87826013347158394,0.87491935110096231,0.85550002247763268,0.84897303130061141,0.5,0.5625,0.69999999999999996
20,50,1,10,25,1000,0.2,1.0,2.5539392274300625,1.4406648231792361,1.0,2.5539392274300625,1.4406648231792361,0.87211138979387037,1.0,0.87211139555944051,0.986955862733921,0.98952015390169101,0.91279359613632516,0.92734285231221358,0.89844352023943075,0.91852125515785421,0.5,0.64999999999999991,0.80000000000000004
20,50,1,10,25,1000,0.2,1.0,4.5044784934005841,1.8997128492351778,1.0,4.5044784934005841,1.8846774087995832,0.57056863351744935,0.85913606176720092,0.71064187109710553,0.98336009280553593,0.98336683449888929,0.87705281272519564,0.89171635375194125,0.82562497539969804,0.83511989461363667,0.5,0.6399999999999999,0.90000000000000002
20,50,1,10,25,1000,0.2,1.0,3.5009915420844013,1.8583596146308827,1.0,4.4273374664777805,1.8153444709887796,0.68135130821359557,0.7176952752227157,0.84964564918963559,0.98875830397236042,0.98614404326167637,0.85937893944795563,0.84172406972576963,0.84565455558934677,0.81633512785211948,0.59999999999999998,0.71999999999999997,0.80000000000000004
20,50,1,10,25,1000,0.2,1.0,2.7665553381886885,1.536131380249049,1.0,2.7665553381886885,1.5104884536514698,0.84246243170463508,1.0,0.84246243351300798,0.99634687121770671,0.99599155812406526,0.91391955909543066,0.91263853665446604,0.90404255513463372,0.89486881865307277,0.55000000000000004,0.58749999999999991,0.59999999999999998
20,50,1,10,25,1000,0.2,1.0,3.3653587958260718,1.4730717591652145,1.0,3.3653587958260718,1.4730717591652145,0.75498817787626038,1.0,0.75498816382957912,0.99369425189128435,0.99261563026515665,0.88695668800790062,0.8624224241083055,0.88919584804968022,0.85737462358515992,0.59999999999999998,0.625,0.69999999999999996
20,50,1,10,25,1000,0.2,1.0,4.9402538300784293,1.9800771068572438,1.0,2.9599980601104128,1.9760255648857232,0.60254243988410705,0.46224327942292742,0.69032436941074637,0.97874840964568921,0.9836796839453561,0.8755244892391616,0.88374958466257625,0.87101065419267509,0.88395554632946149,0.5,0.56000000000000005,0.59999999999999998
