pf,n,k,p,L,G,r,lda,p_wy,s_wy,p_xy,s_xy,p_wx,s_wx,ami_yx,ami_xw,ami_yw,init_err,bcs_err,minc,maxc,cs_err
100,200,1,10,100,1000,0.2,5,0.85879805412967436,0.87597881500682595,0.98841926755030207,0.98916658853983241,0.85278594415445252,0.86997194575291048,0.56056869039326407,0.4121261065626759,0.16161955378642687,0.64566369739322882,0.66677614193179491,1.5316040508417395e-05,0.56556912703276252,1.0
100,200,1,10,100,1000,0.2,5,0.81804100534310398,0.81294634348704087,0.98098027327462078,0.98217113510802989,0.84935606829574517,0.84366156836007822,0.44928092125140257,0.21442968250560279,0.18613420994941396,0.61713069328667558,0.62120148333356962,3.3989646901488868e-06,0.44187379790636139,1.0
100,200,1,10,100,1000,0.2,5,0.84466540912745025,0.86258330414799778,0.97275736094616061,0.97594885665028519,0.83685689452392875,0.84117692059339899,0.30642451115516106,0.19360072973871725,0.2052509406274495,0.6425998847152472,0.65743124823122279,1.8499184444298322e-06,0.47868360075435734,1.0
100,200,1,10,100,1000,0.2,5,0.8342340843648044,0.83789280616994544,0.98928170833955031,0.98913650312163015,0.84947695113634247,0.85748071557249206,0.32127920794330256,0.22657477416922622,0.11703874643849188,0.61462331040092921,0.62812553636585433,6.4909841088756082e-06,0.47286494056435691,1.0
100,200,1,10,100,1000,0.2,5,0.87013700950661654,0.8806326326616275,0.97908683840918653,0.98223248459595847,0.86516502865402756,0.87639349000910083,0.42636364046746539,0.40951975588806705,0.22264101405790918,0.63326079709821648,0.66166684293407085,1.3144751993987569e-05,0.45196446801254542,1.0
100,200,1,10,100,1000,0.2,25,0.8965011432996739,0.9125157790588081,0.96525998499255472,0.97707571497341827,0.86464216909422076,0.87931492108079168,0.31110259342876112,0.22691688547460173,0.10676782557025404,0.32056575597548509,0.41175158722975813,9.611633218220561e-07,0.25671570367059804,1.0
100,200,1,10,100,1000,0.2,25,0.79935786685034893,0.79930015407281507,0.98746065495606528,0.98757999418684317,0.84348233323967214,0.84440168673619775,0.38230545934826432,0.37149266765362232,0.25608917216867866,0.31510752188186064,0.41058629466740171,1.287804054395103e-06,0.35162978595934735,1.0
100,200,1,10,100,1000,0.2,25,0.83884537001987314,0.83247620284629065,0.9832349539226134,0.98502104376151078,0.83998041715659033,0.83939338604945246,0.47130292809363972,0.40108934356342546,0.14640748035273859,0.34369563909332246,0.4405420061043912,7.341972782648476e-05,0.29932357899964523,1.0
100,200,1,10,100,1000,0.2,25,0.80694006627570969,0.81432238658876255,0.98733810331977789,0.98794870379576194,0.82469640023958879,0.82721528526265375,0.3404829495287387,0.18785023388221975,0.14116393760773793,0.3309877730291173,0.4179596058177445,2.7664872514043815e-05,0.3325223906329362,1.0
100,200,1,10,100,1000,0.2,25,0.8334318590306683,0.82687787481013419,0.98825291279714278,0.98946170289267177,0.84036901797053709,0.83371409915450723,0.54454497540150171,0.50079364073180621,0.21049069064507406,0.30146885926693934,0.3931455819265941,2.8939330076749314e-07,0.24640395643225754,1.0
