pf,n,k,p,L,G,r,mindivY,maxdivY,avgdivY,mindivX,maxdivX,avgdivX,ami_yw,ami_yx,ami_xw,p_xy,s_xy,p_wx,s_wx,p_wy,s_wy,minsupp,avgsupp,maxsupp
5,50,1,1,25,1000,0.2,2.9417134210831781,11.993524030282883,5.8669859497750148,1.0,13.820662935424728,6.0031484086307341,0.1305566050313233,0.48905157725878012,0.44225322940915612,0.9670097416194946,0.95578662133695225,0.83505655485918329,0.85316661085315038,0.77989341271905177,0.76876485014886864,0.5,0.82380952380952388,1.0
5,50,1,2,25,1000,0.2,1.0,6.6138052152401965,4.9835315628364967,1.0,12.854340777948522,5.0358597848491442,0.14376357487504454,0.45164856303168155,0.30844704808741891,0.93144974258037572,0.934342350316962,0.81535444566601811,0.8154450165057866,0.70031088204692971,0.70069916384171926,0.5,0.65000000000000002,1.0
5,50,1,5,25,1000,0.2,1.0,7.0710678118654746,3.0516549494675145,1.0,6.7479152098128372,2.9857900781020952,0.22286699714379649,0.54132939288658177,0.25258507730622548,0.95441062367403484,0.95866915118412777,0.83680788952944385,0.84381605170616369,0.83540893612133182,0.83980766858129863,0.59999999999999998,0.73333333333333328,1.0
5,50,1,10,25,1000,0.2,1.0,4.8679924742159999,2.1699490403987443,1.0,4.8679924742159999,1.9656248356847577,0.46594365593608372,0.75936521181037608,0.48133271838825659,0.96439344407811045,0.9646640254796861,0.88729417884014317,0.88644469859722019,0.8186202136207289,0.80306771974695246,0.40000000000000002,0.55999999999999994,0.69999999999999996
5,50,2,1,25,1000,0.2,2.8284271247461898,16.088332469149002,9.7416359531175871,2.8284271247461898,19.33669985324558,8.9838866811431934,0.051853847270027904,0.4323922425905854,0.1669339268824378,0.95116185119824159,0.93245616027814049,0.57430029077515976,0.56769461455055092,0.50611640636630206,0.45709644379774744,0.20000000000000001,0.63841269841269832,1.0
5,50,2,2,25,1000,0.2,4.0,14.434105159680716,9.9267860098145295,2.0,17.061078564273593,8.5875268870427881,0.19492817385378436,0.34025650026567889,0.24108010623517742,0.79465226880063888,0.79300747378886294,0.6237888224278354,0.6337891959393871,0.70850986532613247,0.72779798379384364,0.33333333333333331,0.54659090909090913,1.0
5,50,2,5,25,1000,0.2,2.7494592739972052,11.555673877876956,7.5966868494950122,2.0,13.219292115730358,6.6245870065782215,0.18801501367143969,0.31790936477500004,0.12603445067111993,0.91713709397268273,0.90180412132226462,0.74007027251610968,0.74457456065623639,0.64535975865463535,0.66018654770227825,0.40000000000000002,0.57333333333333336,0.80000000000000004
5,50,2,10,25,1000,0.2,2.0,5.4890815076786037,4.2319026273247093,2.0,6.7009406119319452,3.5678719368566134,0.46711229930025977,0.52489690985833948,0.34832791386226064,0.8784795890082634,0.8808561075327358,0.77040516892930722,0.80039450037763882,0.68206035315912805,0.71713962583402024,0.40000000000000002,0.47142857142857142,0.59999999999999998
5,50,5,1,25,1000,0.2,14.555224529582159,21.237743917712347,17.961238804356945,9.1254651283980888,22.064796089709453,16.008624281575621,0.11544148894333611,0.39534380546944059,0.26836456924444718,0.90974402963398282,0.87833261200075452,0.54366262581289193,0.56271603584337482,0.45004577874731067,0.44976431029181652,0.2857142857142857,0.41020487682252388,0.59999999999999998
5,50,5,2,25,1000,0.2,13.77008146601916,21.24427845593873,18.24625005836111,8.3198917761143321,23.000686051352922,14.629082584091568,0.013124533130915574,0.25992258452329109,0.27538840872441805,0.86297150400522038,0.85105810676636073,0.53510043234238991,0.51016224434308788,0.48906535989550004,0.48406061935377742,0.25,0.39861904761904765,0.625
5,50,5,5,25,1000,0.2,12.324568140807765,16.755266776913757,15.444677711421718,9.6416166586185525,18.119312804129333,13.807051179010012,0.068529633838887286,0.34655806493798069,0.23539627667621113,0.83159586912140382,0.77280461287288149,0.41609220192828822,0.4293867693896482,0.37619118700964416,0.3620002128094304,0.26666666666666666,0.4225396825396826,0.80000000000000004
5,50,5,10,25,1000,0.2,8.7738267530166159,15.622983262571406,13.051840098340614,5.0000000000000009,15.495050009170033,10.148292902593948,0.11344998138076368,0.33877063428738569,0.18121471561811692,0.86403381944618296,0.82138674066690298,0.46309019010141905,0.48510699548987612,0.38436075390198021,0.40010618276674448,0.29999999999999999,0.38921568627450981,0.5
5,50,1,1,25,1000,0.5,3.5859888270569535,7.6420228850756518,5.7736184288013392,1.0,14.724838672758066,5.997752210651683,0.12699988222398503,0.35555568129863652,0.33510411310233768,0.96443939204200835,0.96785449579505534,0.90043934300210038,0.92165336607726278,0.8791766748780413,0.91152535402415447,0.5,0.74791666666666656,1.0
5,50,1,2,25,1000,0.5,1.8898815748423097,7.1613120293281263,4.415281466982429,1.0,12.184175582118081,4.5853566404589241,0.17025713087824099,0.45442553633995691,0.44063840276443272,0.9709533628378938,0.97072415915795351,0.87333159225851686,0.89734363565981023,0.8224193744941164,0.84566457578137277,0.5,0.77083333333333326,1.0
5,50,1,5,25,1000,0.5,1.0,6.0995168498111507,3.3157506513268786,1.0,6.5373002939205618,3.3996319066242173,0.26631508261909109,0.42433251788600618,0.29400495566498869,0.96692671484816795,0.95855242586430978,0.77034238378665321,0.74833677027091416,0.69573438787740782,0.6495879656919864,0.59999999999999998,0.64444444444444438,0.80000000000000004
